ticker,shares
BEPH,134.98347384470728
CEFD,100.09095380193716
AIRTP,58.618581285050524
CBT,78.28608343856851
CHGG,-11.177600423258014
XBI,-40.82628366826435
CLM,36.48142956943707
AMPG,31.640516267551618
ASTC,2.043671898283449
PERF,39.92161961161051
QSI,44.276557247791004
ALRS,51.58203112890796
BAK,62.429098484483944
SMIG,7.382540868325172
CACI,107.16062735124623
BATL,-34.923400746227394
AFB,38.26641362683772
AER,60.87898040451631
AVPT,59.6627323329906
BSBK,112.38441627705902
ARVR,71.1119963421531
BNL,10.64852726210701
BNOV,52.260445986690925
CNCK,-12.161347038155611
COO,27.6337449367077
BIRD,86.8888845164112
AGCO,83.52351617697897
AGNCN,118.50370266611571
BGMSP,81.78413531170727
AXTA,-10.841859814648139
CIIT,147.4838851382391
CMA,77.47895532856737
BMAR,16.74507141325266
BEDZ,14.630263417020345
BOXX,82.36379083427326
AOR,35.171750321154136
BDX,122.04588027397944
BSX,-35.770067101425255
CEW,10.933252999950007
AX,-29.381521246030108
BAB,-45.9884204456499
CEG,34.312550911141585
DVY,65.55140578316723
CCEL,46.39760165212765
CALF,139.98824045635678
BHR,-16.18858098197684
ASND,-9.742827926663232
BBDO,3.7114988488102583
UWM,27.042390644958232
ABLG,52.45307159912531
BKF,-22.659388618709976
BCC,37.306145539042674
COCH,49.82676331847726
AVIG,72.29711653154524
CECO,88.02046449759581
CION,-2.0442954041394827
CMU,19.538880935209946
BDJ,22.153668265447138
APWC,85.7177718322965
ATXG,9.952424241477686
ANGH,93.81096069955925
BVFL,64.47981670320051
SLRX,141.96159723772672
BNRG,79.21106497306218
BTAL,137.04277655454106
CGMU,42.22940312696109
ACRE,24.85568073889037
CPA,97.06355783756692
CABO,-5.0194073491094855
ABTC,32.50482624557422
BFLY,114.09245338979292
WBIF,41.11667003081733
ADAMM,84.19918401998945
BY,75.09999550289604
ARBKL,108.71432390141891
CDC,62.01480571188188
CELH,56.911722875198805
BUFD,-2.4045370330710867
ALRM,104.42612207568274
CBIO,106.53230533026169
CBLS,112.41167792328702
CARS,51.84391209345807
BKE,-49.61337768567624
ARR,-15.277874851131216
AEHR,-43.47484667845292
AMUB,106.05265541348433
AIOT,106.05908583587436
FDMT,128.30956233986194
ALSN,126.54341948314573
