Unnamed: 0,ticker,shares
0,BGLC,-49.73817165929577
1,CHR,-34.298963935148066
2,BOAT,-13.7250790157428
3,APRE,-14.8054045234054
4,AME,-14.177221326572734
5,BGLD,91.88002601397162
6,ASPI,8.027036505188192
7,BGH,130.78850770154835
8,AERT,110.81597396547974
9,BUFR,-46.32216422478761
10,AGZ,13.38768500818042
11,ADFI,86.84040049079996
12,BBDC,29.84930156944931
13,BBBY,72.51793969711844
14,SPGM,106.55117393066465
15,ADEA,140.15477738845854
16,BSET,114.79245385187858
0,STETH-USD,0.1854200614789842
1,USDT-USD,8.935555065519317
