Unnamed: 0,ticker,shares
0,AGL,147.0121511499914
1,SRE,101.796275162734
2,BFAM,-22.943703363237145
3,CIB,29.108988938150944
4,CGUS,136.7782047736402
5,CMA,82.64127487237391
6,AVUV,137.1997109150423
7,BDRX,59.60717083826203
8,AMLP,40.80375677156138
9,CLFD,21.054902011169148
10,BE,124.79575696796712
11,BWEN,96.15186153945508
12,ALTS,-11.21776468365865
13,CHEF,146.37762015114143
14,AEYE,-42.901428691241385
15,ABNB,124.06205545169236
16,APLE,-24.269448549070937
17,ASND,-48.49487393247232
18,CPRX,9.229663892206808
19,AMPG,-49.57722843999171
20,CCSO,24.84063900328128
21,BAND,142.20790096757042
22,ACCO,113.97862048599792
23,ASMB,108.65912925261358
24,BMVP,80.58073435117251
25,COIN,127.79824965017748
26,BBD,-12.308887097786569
27,CLX,-38.181069110907906
28,CMSD,74.6007968940335
29,AEMD,124.06828905141538
30,XSVM,2.9733243860731378
31,COFS,-13.216274251730312
32,AMAL,98.09128611339491
33,BSY,106.1232152660931
34,ALTI,40.58317009085688
35,ARMK,49.10181904620963
36,KRNT,45.83897616387047
37,COLB,-36.313166032005896
38,AFRM,35.90357817984476
39,CHCI,-46.395787876715254
40,CPZ,111.8626741339165
41,CAAP,10.912767756118887
42,CHCO,32.05218455478894
43,AIVI,76.67431525970574
44,BIDU,-23.65916772165873
45,BBSC,-7.060257658219449
46,ACIU,-3.3915506005131704
47,ASTE,31.92091000268124
48,COHN,-49.14119604108937
49,BAC,117.86238582564796
50,ATRO,33.72616375828821
51,ARHS,20.57963770419377
52,CMCM,42.138549639571195
53,CGBD,119.96475767920776
54,BFLY,129.26168817778878
55,CHRW,9.771474730755372
56,BERZ,44.76915777282764
57,AWF,45.716872414605774
58,ALL,-43.22485512227985
59,AZTA,-4.880350259218517
60,AIO,-13.091354075913928
61,BUFB,7.333687738225983
62,BHM,-38.815187431588
63,CHNR,134.87242280906503
64,ALNT,3.3114684462483694
65,AMZD,22.272345285296424
66,BBLU,30.350698044509983
67,CDE,135.55861014824615
68,ASC,104.72190023585398
0,SOL-USD,13.713726538129958
1,BTC-USD,0.3033994954872714
2,USDC-USD,4.027011738375023
3,BNB-USD,8.477551296498607
