Unnamed: 0,ticker,shares
0,AIMD,10.7706786200092
1,AGM,72.41612806131113
2,BTF,66.36098556055978
3,CLSD,2.144664596134674
4,CNDT,-4.080598488591079
5,BIO,-35.60417461865974
6,XSVM,102.94021388463612
7,BKU,-49.78731590281525
8,CHCO,34.34766049149201
9,SNSR,66.6719566836499
10,BYLD,56.538750712011975
11,AI,122.16914002033045
12,BRN,-38.460011154518824
13,AEIS,94.56461406263328
14,AVUV,17.71680065795671
15,APLS,51.21111502276776
16,CAT,89.66194527434862
17,COM,-38.51517036542083
0,ETH-USD,-3.0501876339876044
1,SOL-USD,4.5542841951039925
2,USDT-USD,4.574987676557514
3,BTC-USD,-4.254212628816989
