ticker,shares
CBAN,127.42365156000136
AACG,41.073661399455005
AYI,81.51062334930995
BP,49.41771975705214
ASEA,48.33993749376866
BSTP,41.173047566040495
BPYPO,107.87655563858783
JPIN,62.2467433601378
BRFH,61.538502410185416
BSX,50.23607927591216
BOAT,99.59060241903873
AVEM,72.79554707365747
ATRC,109.97004422738937
AJG,134.6893519073531
CLB,148.03671519310555
CMTL,67.07457002912582
CGSD,79.8152915178973
CLW,49.61253180549103
AEFC,65.57337850889375
CMDY,-35.12658801521191
ALSN,-11.454461149905207
AGRO,-19.560576952850806
CODI,102.41228051067316
CNQ,92.2993968848013
BHFAM,120.57138959623296
BUR,56.51627764947584
ADNT,-1.4605563089537625
ANEW,88.48368835261991
AIQ,39.24765378833963
CAL,-30.258630225465332
CMCM,98.9766357938311
AES,51.54117731987003
AIRG,140.9196413113018
BUG,119.45727961215553
BSBK,40.6390400911268
ADEA,102.14941342180202
AI,84.71833266568484
TPLC,82.11211732020095
COMP,27.583838559280565
WIT,111.44702307121025
CION,-23.453225721188396
BYRN,-2.3974013546221613
CDP,108.48336562728329
AMCX,84.7273355044442
SPT,3.827746210556505
CERS,77.86035414113215
CAR,19.77342844741392
AKAN,107.33510312757707
CPAC,56.92819831211989
CMPS,-31.343034778117286
CLPT,60.05513850897441
BLE,120.32254363399073
FLD,-48.71644258014312
CAPT,136.4136879873025
BRX,92.87633792618993
