Unnamed: 0,ticker,shares
0,BY,110.72472672340272
1,AUB,68.91577401427243
2,CBZ,-41.92923398827402
3,CHRS,79.25509093189592
4,BCML,33.12718740508926
5,ALSN,129.02134613135766
6,ABP,20.720735518330883
7,BSVN,72.74028511934631
8,ALL,-16.870222436263617
9,BALL,136.49349630537827
10,BCTX,83.35724063622533
11,AME,47.422846189975985
12,AEC,-25.56740488927431
13,BSJT,89.55753857054111
14,CLAR,87.21691329267915
15,BLCN,66.1507590854207
16,AXTA,-49.19462072984886
17,AMSC,78.61668647721442
18,AUID,74.90316514913727
19,BOOT,-9.28205447334554
20,CONL,149.94557367144347
21,FOCT,56.330774874895
22,BIV,127.00051255900352
23,AMRK,105.207123852399
24,ALIT,74.10166371000906
25,SSNC,130.14604756739786
26,CGV,99.05497215442772
27,BIP,80.67133781560239
28,CAN,103.78285992461556
29,BYD,-3.128895817034085
30,ALM,68.12396823706011
31,AIEQ,56.57738576350337
32,IDU,37.18826195561688
33,AFSM,77.41843989243982
34,BBY,-22.43335572285172
35,BIPI,117.61326634520309
36,AM,3.1573687825001713
37,AQST,-21.55829267724194
38,AUSF,64.13784494090106
39,CCCC,-1.8100302931842052
40,ESGD,-0.5663128875543109
41,AA,44.00423629623833
42,CCS,21.605001072226187
43,ASML,149.44313745941434
44,AMAL,38.489215881396134
45,ARAY,59.177477905507885
46,BHAT,10.934542858932916
47,CHWY,-4.38216393617266
48,ADT,-3.913122804871527
49,ARCB,39.19064047336367
50,BSJS,142.28412130473762
51,ACRE,52.66170055511921
52,ALC,36.38444948894603
53,ASTH,-30.87305200316146
54,ATOM,-8.441548929855472
55,BXMT,66.67569406823625
56,VOXR,99.89927906913886
57,APYX,123.38324509260218
58,BKEM,90.8271020101385
59,CABA,1.1835094778254387
60,BLDG,-8.977063325508674
61,AXL,13.464582295534932
62,CGBD,117.94935268243192
63,CTLP,111.68948156700466
64,BGMSP,103.28473268428914
65,AUST,119.6182144070002
66,CLOU,76.68246801433678
67,AAAU,-9.714149911572116
68,CORT,66.23700427338031
69,ALX,-46.56775988768827
70,CFO,77.21892806338597
71,ATXS,-0.77605887428183
72,BND,-28.626522804950127
73,CNO,18.844402885577964
74,CB,77.14047790059739
75,CDZI,27.209977074654404
76,BMO,-8.433021691111087
77,CHSCO,5.384763312958981
78,BUYZ,121.13543893213895
79,AWP,47.64156919135894
80,ADPT,21.200292915138675
0,XRP-USD,4.480110940674248
1,USDC-USD,12.007890464637882
2,ETH-USD,2.3586412756913404
3,SOL-USD,14.904091654057291
4,BTC-USD,1.6041688520312274
5,BNB-USD,-1.4421167968722235
6,STETH-USD,-2.183001264343507
7,USDT-USD,5.538385782361173
8,DOGE-USD,13.613682510961834
9,TRX-USD,4.7438210857906995
