ticker,shares
CRC,80.61937927044525
BTG,62.25972349292121
ADPV,15.623466186928496
CPNG,50.54248907921017
ARCB,147.454695647571
AM,116.19624409185084
CMT,62.250568747839054
BLDR,8.951089044181337
BKT,124.65425169815697
AAAU,108.36888781276909
AFGE,107.7807198371166
AGRI,-42.38735975671653
CHCO,144.97858414368446
CCNEP,44.88639105993697
CAE,4.775398757394591
CEF,-29.162452715067566
BAND,-10.245182668505315
CHMI,40.979083914008996
CAF,-40.02970743454253
BL,39.856220092665424
AORT,32.68489117910367
CHCI,136.91165614093643
ATXG,21.376742245244557
BURL,143.64815950265722
CNF,146.33889291550787
ITAN,16.621562636889095
CMBT,-2.5659684468358535
ARES,92.58733723955478
CFFI,72.53843753837057
TLF,76.39646684030697
CMTL,73.62079782896758
ACR,-13.510720771416509
BLV,144.20916731464888
CIF,128.5142994343416
BHM,-19.073639975132473
AD,-5.649596471591337
ABCL,86.27085006284779
ARR,82.793435476625
BKGI,144.32857566132674
CIL,61.43691666002546
ARMP,-5.396127469842192
BUFB,119.71724238189748
BZAI,-6.451663294285282
COCH,-4.946790356539246
BBU,110.73321532247863
BEP,61.10063381276454
CHSCN,50.46641603110341
AHH,87.35583506072322
CNRG,84.24482455346168
SPHB,49.01631475739316
XSVM,111.00528426878464
AMOD,-11.536753924254043
ANEB,56.3300648792018
ARQQW,-45.194805362966626
ADAMN,3.6846027539147315
BOH,55.5945264019055
ALUR,-12.383155973763579
ABCB,33.10824329248945
SNSR,23.549162018982315
AES,-28.772982044745454
BOKF,125.45606432421587
JPIN,-10.282301155670638
BB,54.79471194954273
AGEN,-16.13718369677597
BSRR,-44.67881237646456
AL,103.30707137173744
CBT,113.8022741763165
CLRO,44.923957823537904
ALLT,103.63608326801622
