ticker,shares
BETR,119.54792406444793
CII,28.637260971322462
CDIO,14.755846853563412
CHI,-11.988898500693558
WIT,121.18058825554786
ALL,13.14500731172783
AGL,-4.415089676552711
ALLT,62.03963991188681
BXP,133.3682762392137
ACLC,-32.918238118953184
ARKO,-44.12737801452982
AMAL,55.007068346602495
BGB,17.146535522067822
BSJQ,13.732696847038525
BGM,9.103103116210761
CPNG,64.74199216275711
AVNS,125.71449927993046
WCBR,74.44879964729829
AIRG,15.911445129474643
BOLT,104.42446173749602
AMG,109.997716231856
SUSC,-49.06673331637772
ALLY,9.659366618296602
AGRO,26.919150769733832
AMGN,125.66912687968144
AMT,144.87516102359862
BRLN,87.2996309733208
COGT,-46.357500637353645
ATRC,130.43483119249086
CET,133.7211398837962
MUJ,81.47060155606448
BIDU,63.5125832005301
AUR,88.19129680362886
BHR,68.22798061230664
ANGL,-28.617511089056656
ARI,-8.573486744584628
AVT,63.764539628859
BCRX,17.508882992370076
AFB,98.51602535160052
BTT,148.3079990469594
CMC,-34.178728460113916
ALSN,77.04552153287716
CGNT,111.27940160597083
BOTJ,4.14778897645283
BANR,59.781372037734954
CBFV,78.82244605476342
BSCQ,-37.75152895177174
CGAU,20.1902760854815
BR,128.80617516320066
ADAG,138.39224863582916
CDL,50.26157704628491
AFYA,98.66068513194571
BBSC,7.612203701258238
CLFD,-12.598480511026075
AMZE,-15.145809374609698
BBW,122.04757153888559
BMAR,75.83028868476099
ACXP,125.31901177819512
CCZ,61.89614783766547
ADBE,-45.30833330674851
ACAD,-20.0953269160717
CHRS,13.580353212919725
CNXT,-21.068285080668893
CGCP,-24.479392514338304
ALNT,126.63714573630719
ATEX,147.4100158546131
CLW,43.65003195914869
BUCK,146.22082206308983
CGSD,106.38899544777777
CMU,136.33309274907413
CENT,-39.8813231692162
BAER,128.80433409963234
CANE,124.6283515115503
CAKE,7.90326607174849
CHT,111.90986454151067
BRLS,40.886429403657544
TLTW,142.33676877694975
BMAY,104.9872941908566
APTV,-21.648050858151425
AQST,-40.49877848512966
CIIT,48.88439303381608
AEVA,117.77827697287617
ADIL,128.6070702301818
ARGX,12.87316504339779
BFOR,-49.611524319790455
BCD,-9.448750908525263
EUHY,123.88746863677719
AIHS,20.217772143764506
ATGE,5.041788835124315
CBOE,-14.955332419549514
BBUS,128.51126742327878
AMD,-30.417545140822178
UNCY,52.86906984465716
BKCI,51.353921158933204
CIEN,-20.552284053713986
AMLP,-32.758525331583634
BLV,96.44467746409288
BGT,71.20141192684586
CDTX,144.47224621045982
BRCC,35.58332382031435
CAAS,93.7589227373972
